Measure Name,Measure Value,Education_Level,Income_Category
Total_Relationship_Count,932,Uneducated,$40K - $60K
Total_Trans_Amt,219841,Doctorate,$60K - $80K
Total_Trans_Amt,139169,Post-Graduate,$120K +
Total_Trans_Ct,4245,College,$120K +
Months_on_book,7465,Unknown,$60K - $80K
Total_Amt_Chng_Q4_Q1,65.304,Post-Graduate,$80K - $120K
Total_Revolving_Bal,473315,Graduate,$60K - $80K
Total_Relationship_Count,826,Uneducated,$80K - $120K
Total_Ct_Chng_Q4_Q1,131.213,College,$40K - $60K
Total_Revolving_Bal,789774,High School,Less than $40K
Total_Trans_Amt,205876,Post-Graduate,Unknown
Months_on_book,17204,Graduate,$80K - $120K
Total_Ct_Chng_Q4_Q1,20.813,Post-Graduate,$120K +
Total_Amt_Chng_Q4_Q1,261.125,College,Less than $40K
Total_Trans_Amt,355425,Post-Graduate,$60K - $80K
Total_Revolving_Bal,187172,High School,$120K +
Total_Trans_Ct,15996,Uneducated,$40K - $60K
Total_Trans_Ct,14080,Uneducated,$80K - $120K
Months_on_book,2584,Doctorate,$40K - $60K
Total_Ct_Chng_Q4_Q1,174.708,Uneducated,$40K - $60K
Total_Revolving_Bal,401918,College,Less than $40K
Total_Ct_Chng_Q4_Q1,145.233,Graduate,$120K +
Total_Revolving_Bal,82295,College,$120K +
Total_Revolving_Bal,146675,College,$60K - $80K
Total_Amt_Chng_Q4_Q1,88.241,Post-Graduate,$40K - $60K
Total_Trans_Amt,1035495,Uneducated,$80K - $120K
Total_Trans_Amt,628314,High School,$120K +
Total_Ct_Chng_Q4_Q1,25.383,Doctorate,$120K +
Total_Amt_Chng_Q4_Q1,164.541,Unknown,$80K - $120K
Total_Trans_Amt,910211,Unknown,$60K - $80K
Total_Ct_Chng_Q4_Q1,248.99,College,Less than $40K
Total_Ct_Chng_Q4_Q1,118.695,Post-Graduate,Less than $40K
Total_Ct_Chng_Q4_Q1,239.145,Graduate,Unknown
Months_on_book,2089,Doctorate,$80K - $120K
Total_Amt_Chng_Q4_Q1,35.226,Post-Graduate,Unknown
Total_Amt_Chng_Q4_Q1,113.117,Unknown,Unknown
Total_Trans_Ct,36161,Graduate,$40K - $60K
Total_Ct_Chng_Q4_Q1,79.201,Uneducated,$120K +
Total_Trans_Ct,19471,High School,$60K - $80K
Months_on_book,5780,Doctorate,Less than $40K
Total_Trans_Amt,284000,Doctorate,$40K - $60K
Total_Relationship_Count,410,College,Unknown
Total_Amt_Chng_Q4_Q1,172.243,Uneducated,$80K - $120K
Total_Trans_Amt,2268515,Uneducated,Less than $40K
Total_Ct_Chng_Q4_Q1,48.284,College,$120K +
Total_Revolving_Bal,426914,High School,$40K - $60K
Months_on_book,5080,Unknown,Unknown
Total_Amt_Chng_Q4_Q1,46.197,Doctorate,$60K - $80K
Total_Trans_Ct,4842,Post-Graduate,$60K - $80K
Total_Trans_Ct,3250,Post-Graduate,Unknown
Total_Trans_Amt,1922313,Graduate,$60K - $80K
Total_Amt_Chng_Q4_Q1,422.906,Graduate,$40K - $60K
Total_Trans_Ct,10389,Doctorate,Less than $40K
Total_Relationship_Count,226,Doctorate,$60K - $80K
Total_Relationship_Count,576,Doctorate,Less than $40K
Total_Ct_Chng_Q4_Q1,223.991,High School,$60K - $80K
Total_Trans_Ct,7453,Post-Graduate,$40K - $60K
Total_Trans_Ct,22200,Graduate,Unknown
Total_Ct_Chng_Q4_Q1,83.653,Unknown,$120K +
Total_Amt_Chng_Q4_Q1,848.166000000,Graduate,Less than $40K
Total_Relationship_Count,737,Graduate,$120K +
Total_Ct_Chng_Q4_Q1,97.834,College,$60K - $80K
Total_Trans_Amt,1212418,Unknown,$40K - $60K
Total_Ct_Chng_Q4_Q1,74.126,College,Unknown
Total_Relationship_Count,2044,Uneducated,Less than $40K
Total_Revolving_Bal,237481,Graduate,$120K +
Months_on_book,2709,College,$120K +
Total_Relationship_Count,425,Post-Graduate,$40K - $60K
Total_Ct_Chng_Q4_Q1,154.214,Uneducated,$80K - $120K
Total_Relationship_Count,304,Post-Graduate,$60K - $80K
Total_Amt_Chng_Q4_Q1,232.55,High School,$80K - $120K
Total_Revolving_Bal,265218,Unknown,$80K - $120K
Total_Relationship_Count,1364,High School,$40K - $60K
Months_on_book,3960,Post-Graduate,$40K - $60K
Total_Trans_Amt,594176,College,$60K - $80K
Total_Trans_Ct,45013,High School,Less than $40K
Total_Trans_Amt,4945704,Graduate,Less than $40K
Total_Amt_Chng_Q4_Q1,21.336,Post-Graduate,$120K +
Total_Amt_Chng_Q4_Q1,159.703,Unknown,$60K - $80K
Months_on_book,9742,Unknown,$40K - $60K
Total_Amt_Chng_Q4_Q1,393.598,Uneducated,Less than $40K
Total_Relationship_Count,444,Uneducated,$120K +
Total_Amt_Chng_Q4_Q1,152.628,Graduate,$120K +
Total_Trans_Ct,26830,Graduate,$60K - $80K
Total_Trans_Ct,29944,Graduate,$80K - $120K
Total_Amt_Chng_Q4_Q1,55.96,Post-Graduate,$60K - $80K
Total_Relationship_Count,986,Unknown,$40K - $60K
Months_on_book,6948,Uneducated,$60K - $80K
Total_Relationship_Count,828,High School,Unknown
Months_on_book,11183,High School,$80K - $120K
Total_Trans_Ct,3490,Doctorate,$80K - $120K
Months_on_book,7561,Graduate,$120K +
Total_Trans_Amt,533854,Unknown,$120K +
Total_Trans_Amt,697003,Doctorate,Less than $40K
Total_Revolving_Bal,294016,Uneducated,$40K - $60K
Total_Trans_Ct,8353,College,$60K - $80K
Total_Amt_Chng_Q4_Q1,85.574,Uneducated,$120K +
Months_on_book,3767,College,Unknown
Total_Trans_Amt,1436528,College,Less than $40K
Total_Trans_Ct,7912,Uneducated,$120K +
Total_Amt_Chng_Q4_Q1,41.468,Doctorate,$80K - $120K
Total_Revolving_Bal,145309,Unknown,$120K +
Total_Relationship_Count,744,Uneducated,$60K - $80K
Total_Trans_Ct,3606,Doctorate,$60K - $80K
Total_Trans_Amt,539324,Post-Graduate,$40K - $60K
Total_Trans_Amt,939914,Graduate,$120K +
Total_Amt_Chng_Q4_Q1,51.403,Doctorate,Unknown
Total_Trans_Amt,251854,Doctorate,$80K - $120K
Months_on_book,24169,High School,Less than $40K
Total_Amt_Chng_Q4_Q1,109.981,High School,$120K +
Total_Relationship_Count,193,Post-Graduate,Unknown
Total_Ct_Chng_Q4_Q1,79.462,Post-Graduate,$40K - $60K
Total_Amt_Chng_Q4_Q1,28.647,Doctorate,$120K +
Total_Revolving_Bal,61917,Doctorate,$80K - $120K
Total_Ct_Chng_Q4_Q1,158.979,High School,Unknown
Total_Relationship_Count,1602,Graduate,$60K - $80K
Total_Trans_Amt,857713,Uneducated,$60K - $80K
Total_Trans_Ct,5173,Post-Graduate,$80K - $120K
Total_Trans_Ct,12448,Uneducated,$60K - $80K
Total_Revolving_Bal,265456,Unknown,$60K - $80K
Total_Relationship_Count,725,Uneducated,Unknown
Total_Trans_Amt,1399587,High School,$80K - $120K
Total_Revolving_Bal,1298663,Graduate,Less than $40K
Total_Trans_Ct,37255,Unknown,Less than $40K
Total_Amt_Chng_Q4_Q1,114.473,Doctorate,Less than $40K
Total_Ct_Chng_Q4_Q1,98.119,High School,$120K +
Total_Relationship_Count,1153,High School,$80K - $120K
Total_Ct_Chng_Q4_Q1,400.283000000,Unknown,Less than $40K
Total_Ct_Chng_Q4_Q1,51.48,Post-Graduate,$60K - $80K
Months_on_book,4538,College,$60K - $80K
Total_Relationship_Count,223,Doctorate,$80K - $120K
Total_Ct_Chng_Q4_Q1,39.231,Doctorate,$80K - $120K
Total_Relationship_Count,1857,Graduate,$80K - $120K
Months_on_book,12425,College,Less than $40K
Total_Trans_Amt,740060,College,$80K - $120K
Total_Relationship_Count,266,Doctorate,$40K - $60K
Total_Trans_Ct,4518,Doctorate,$40K - $60K
Total_Revolving_Bal,78870,Doctorate,$40K - $60K
Months_on_book,7873,Unknown,$80K - $120K
Total_Trans_Ct,17533,Unknown,$40K - $60K
Total_Amt_Chng_Q4_Q1,130.069,Post-Graduate,Less than $40K
Total_Revolving_Bal,197527,Post-Graduate,Less than $40K
Total_Amt_Chng_Q4_Q1,199.887,Unknown,$40K - $60K
Total_Amt_Chng_Q4_Q1,274.355,High School,$40K - $60K
Total_Trans_Ct,8875,High School,$120K +
Total_Trans_Ct,2444,Doctorate,$120K +
Total_Relationship_Count,630,College,$80K - $120K
Total_Revolving_Bal,148834,Uneducated,$120K +
Total_Relationship_Count,2134,Graduate,$40K - $60K
Months_on_book,5899,Post-Graduate,Less than $40K
Total_Trans_Amt,1445497,Graduate,Unknown
Total_Trans_Ct,14947,High School,Unknown
Months_on_book,4377,Unknown,$120K +
Total_Revolving_Bal,193870,Uneducated,Unknown
